,pyzx_nCZs,pyzx_totalFidelities,pyzx_totalGateFidelities,pyzx_totalIdleTime,pyzx_totalExecutionTime,standard_nCZs,standard_totalFidelities,standard_totalGateFidelities,standard_totalIdleTime,standard_totalExecutionTime,hybrid_0_1_nCZs,hybrid_0_1_totalFidelities,hybrid_0_1_totalGateFidelities,hybrid_0_1_totalIdleTime,hybrid_0_1_totalExecutionTime,hybrid_0_2_nCZs,hybrid_0_2_totalFidelities,hybrid_0_2_totalGateFidelities,hybrid_0_2_totalIdleTime,hybrid_0_2_totalExecutionTime,hybrid_0.005_1_nCZs,hybrid_0.005_1_totalFidelities,hybrid_0.005_1_totalGateFidelities,hybrid_0.005_1_totalIdleTime,hybrid_0.005_1_totalExecutionTime,hybrid_0.005_2_nCZs,hybrid_0.005_2_totalFidelities,hybrid_0.005_2_totalGateFidelities,hybrid_0.005_2_totalIdleTime,hybrid_0.005_2_totalExecutionTime,hybrid_0.05_1_nCZs,hybrid_0.05_1_totalFidelities,hybrid_0.05_1_totalGateFidelities,hybrid_0.05_1_totalIdleTime,hybrid_0.05_1_totalExecutionTime,hybrid_0.05_2_nCZs,hybrid_0.05_2_totalFidelities,hybrid_0.05_2_totalGateFidelities,hybrid_0.05_2_totalIdleTime,hybrid_0.05_2_totalExecutionTime,name
0,183.0,0.33858225449816665,0.3602539278250273,91687.79999999946,8347.154545454496,268.0,0.16287556772989709,0.17182008715415814,79006.99999999945,7204.618181818131,188.0,0.31744536217790725,0.3363829485841208,85632.29999999942,7799.699999999947,168.0,0.34917413972255307,0.36845390839615766,79425.90056349876,7235.427323954432,126.0,0.39266748554085307,0.41590392415199845,84962.24788783702,7737.00023052236,128.0,0.389871115258405,0.4099004777583975,74036.72253612986,6742.336773453934,134.0,0.3754723969032818,0.39872145867269576,88785.39352167762,8083.963892499591,146.0,0.35789286538529563,0.381484364412881,94339.18591635731,8588.236747840318,basis_trotter_n4.qasm
1,22.0,0.8730653814093179,0.8777434503542169,7897.400000000003,719.0818181818184,10.0,0.9009836919727932,0.9011254503829113,232.49999999999994,22.999999999999996,29.0,0.8527230817102096,0.8545678110783588,3193.599999999997,291.10909090909064,26.0,0.8603423439533315,0.8643008299958019,6784.000000000001,617.7363636363638,29.0,0.8470992466433432,0.8520073101387968,8537.800000000003,777.8000000000003,26.0,0.8603318650473992,0.8643008299958023,6802.000000000001,619.2363636363638,29.0,0.8470992466433432,0.8520073101387968,8537.800000000003,777.8000000000003,26.0,0.8603318650473992,0.8643008299958023,6802.000000000001,619.2363636363638,basis_change_n3.qasm
2,2.0,0.9868496774076759,0.9868683750966928,28.0,2.7,2.0,0.9868480747651013,0.9868683750966929,30.400000000000006,2.9000000000000004,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,teleportation_n3.qasm
3,1.0,0.9919067123107196,0.9919226196462176,23.700000000000003,2.2,4.0,0.9777871867403921,0.9778138510346069,40.300000000000004,3.8000000000000003,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,iswap_n2.qasm
4,1.0,0.9899251432950226,0.9899400140622192,22.200000000000003,2.2,4.0,0.9787695953404841,0.9787926436782853,34.800000000000004,3.3000000000000003,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,grover_n2.qasm
5,5.0,0.9577946333549282,0.9578620389276757,104.0,10.0,3.0,0.9637629508872674,0.9638347548655722,110.10000000000002,10.600000000000001,8.0,0.9450972395992019,0.9451826827720081,133.6,12.6,5.0,0.9529102612618602,0.9529808697635046,109.5,10.5,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,quantumwalks_n2.qasm
6,38.0,0.8136286541807094,0.8227233572854189,16427.499999999985,1495.5727272727258,89.0,0.6018244940950171,0.6177389227421068,38571.49999999996,3509.854545454542,45.0,0.7818967805391556,0.7930279820297326,20890.299999999974,1900.8090909090886,47.0,0.7714603401297611,0.7873256121582215,30083.699999999975,2736.9363636363614,35.0,0.8110544906371673,0.8237230421694841,22905.10084524877,2084.82734956807,36.0,0.8085390345042793,0.8211667391440486,22902.300845248774,2084.5273495680703,37.0,0.8027268469430381,0.8153496203531172,23057.900845248776,2098.881895022616,37.0,0.805425976818795,0.8169823600080331,21053.50084524878,1916.8637132044346,vqe_uccsd_n4.qasm
7,195.0,0.3586156978254503,0.37261399674097845,56588.699999999786,5155.00909090907,973.0,0.005220086036795759,0.006242584228945942,264355.20000000345,24062.172727273046,204.0,0.3412313698917315,0.35480298642906966,57638.29999999979,5250.981818181798,210.0,0.3313944932909665,0.34685717646558323,67394.49999999967,6137.045454545423,183.0,0.3598700445145572,0.37464174775719045,59449.13971901781,5415.600307363185,175.0,0.3717365138328913,0.3864269437765795,57277.12760570389,5217.118233045365,182.0,0.3369958331130059,0.3530725937202012,68871.60309924533,6272.145736295029,207.0,0.2921889443764126,0.30649780030407364,70655.04788783714,6433.772957795098,vqe_uccsd_n6.qasm
8,11.0,0.9361189718456843,0.9387562085950621,4157.5,378.55454545454546,8.0,0.9501281161653093,0.951349355432257,1898.3,173.06363636363636,10.0,0.9409188870522922,0.9435642829003769,4149.1,377.75454545454545,11.0,0.9366408201718038,0.9396956693404853,4812.1,438.17272727272734,6.0,0.9486882058438177,0.9513488792816064,4138.900563499208,376.78186940901895,6.0,0.9486882058438177,0.9513488792816064,4138.900563499208,376.78186940901895,7.0,0.9056278219665198,0.9075021943142142,3055.5,278.4,7.0,0.9056278219665198,0.9075021943142142,3055.5,278.4,fredkin_n3.qasm
9,6.0,0.9642174043209041,0.9664224753345104,3375.8000000000006,307.18181818181824,5.0,0.9659308084652283,0.9674935531455362,2389.0,217.54545454545456,5.0,0.9679455150944443,0.969430961406562,2266.2,206.6909090909091,3.0,0.9728938271597443,0.9743959002742704,2279.9,207.6909090909091,3.0,0.9728977771167009,0.9743959002742704,2273.9,207.1909090909091,3.0,0.9728938271597443,0.9743959002742704,2279.9,207.6909090909091,3.0,0.9728977771167009,0.9743959002742704,2273.9,207.1909090909091,3.0,0.9728938271597443,0.9743959002742704,2279.9,207.6909090909091,bell_n4.qasm
10,9.0,0.9422784127347384,0.9465016111141151,6608.700000000003,601.6363636363639,6.0,0.9582022464353005,0.9601583385767266,3013.7999999999997,274.4090909090909,6.0,0.9555855304241473,0.9582392218574566,4098.3,373.45454545454544,7.0,0.9506961287280247,0.9533563691844035,4129.5,376.1545454545455,4.0,0.9574453536615546,0.9582387422584263,1224.1011269984172,111.60010245440156,4.0,0.9574453536615546,0.9582387422584263,1224.1011269984172,111.60010245440156,4.0,0.9574453536615546,0.9582387422584263,1224.1011269984172,111.60010245440156,4.0,0.9574453536615546,0.9582387422584263,1224.1011269984172,111.60010245440156,toffoli_n3.qasm
11,28.0,0.8013318048427044,0.8016537399059271,593.6000000000003,56.10000000000002,28.0,0.7799163753108338,0.780289895966004,707.6000000000004,67.10000000000004,25.0,0.8072346981515839,0.807545015747983,568.0000000000001,54.000000000000014,25.0,0.8039234198764508,0.8042338799236863,570.6008452488132,54.190985931710294,12.0,0.8358394875606735,0.8361092592361299,476.90140874802165,45.71830988618379,12.0,0.8358394875606735,0.8361092592361299,476.90140874802165,45.71830988618379,12.0,0.8273321826988448,0.8276095131376456,495.30197224723037,47.34563384065731,12.0,0.8273321826988448,0.8276095131376456,495.30197224723037,47.34563384065731,dnn_n2.qasm
12,14.0,0.9294696884800582,0.9342395741701834,7564.600000000003,688.2909090909094,11.0,0.9433949080664971,0.9472464656674574,6021.200000000002,547.9272727272729,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,error_correctiond3_n5.qasm
13,4.0,0.975337526153262,0.9753715156327208,51.5,4.9,4.0,0.9719206483574765,0.971962345295645,63.39999999999999,6.1,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,linearsolver_n3.qasm
