,pyzx_nCZs,pyzx_totalFidelities,pyzx_totalGateFidelities,pyzx_totalIdleTime,pyzx_totalExecutionTime,standard_nCZs,standard_totalFidelities,standard_totalGateFidelities,standard_totalIdleTime,standard_totalExecutionTime,hybrid_0_1_nCZs,hybrid_0_1_totalFidelities,hybrid_0_1_totalGateFidelities,hybrid_0_1_totalIdleTime,hybrid_0_1_totalExecutionTime,hybrid_0.005_1_nCZs,hybrid_0.005_1_totalFidelities,hybrid_0.005_1_totalGateFidelities,hybrid_0.005_1_totalIdleTime,hybrid_0.005_1_totalExecutionTime,hybrid_0.05_1_nCZs,hybrid_0.05_1_totalFidelities,hybrid_0.05_1_totalGateFidelities,hybrid_0.05_1_totalIdleTime,hybrid_0.05_1_totalExecutionTime,name
0,183.0,0.33858225449816665,0.3602539278250273,91687.79999999946,8347.154545454496,268.0,0.16287556772989709,0.17182008715415814,79006.99999999945,7204.618181818131,187.0,0.3197751314398544,0.33844443149501,83854.99999999945,7638.018181818131,116.0,0.4002191531281242,0.42055087611198366,73231.30309924528,6668.982125544989,129.0,0.38042970372503593,0.4036229625607313,87457.78535285812,7963.863969340391,basis_trotter_n4.qasm
1,22.0,0.8730653814093179,0.8777434503542169,7897.400000000003,719.0818181818184,10.0,0.9009836919727932,0.9011254503829113,232.49999999999994,22.999999999999996,29.0,0.8527244665336187,0.8545678110783587,3191.199999999998,290.9090909090907,29.0,0.8446682291364104,0.8511555158304854,11306.800000000008,1029.1181818181826,29.0,0.8446682291364104,0.8511555158304854,11306.800000000008,1029.1181818181826,basis_change_n3.qasm
2,2.0,0.9868496774076759,0.9868683750966928,28.0,2.7,2.0,0.9868480747651013,0.9868683750966929,30.400000000000006,2.9000000000000004,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,teleportation_n3.qasm
3,1.0,0.9919067123107196,0.9919226196462176,23.700000000000003,2.2,4.0,0.9777871867403921,0.9778138510346069,40.300000000000004,3.8000000000000003,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,iswap_n2.qasm
4,1.0,0.9899251432950226,0.9899400140622192,22.200000000000003,2.2,4.0,0.9787695953404841,0.9787926436782853,34.800000000000004,3.3000000000000003,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,grover_n2.qasm
5,5.0,0.9577946333549282,0.9578620389276757,104.0,10.0,3.0,0.9637629508872674,0.9638347548655722,110.10000000000002,10.600000000000001,8.0,0.9450972395992019,0.9451826827720081,133.6,12.6,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,quantumwalks_n2.qasm
6,38.0,0.8136286541807094,0.8227233572854189,16427.499999999985,1495.5727272727258,89.0,0.6018244940950171,0.6177389227421068,38571.49999999996,3509.854545454542,52.0,0.7580987852193583,0.7705461206074704,24067.699999999983,2190.254545454544,35.0,0.8130591169396659,0.8270257741450553,25170.500845248775,2290.0273495680703,35.0,0.8130591169396659,0.8270257741450553,25170.500845248775,2290.0273495680703,vqe_uccsd_n4.qasm
7,195.0,0.3586156978254503,0.37261399674097845,56588.699999999786,5155.00909090907,973.0,0.005220086036795759,0.006242584228945942,264355.20000000345,24062.172727273046,198.0,0.34591039079919966,0.3629310007863446,70984.69999999965,6464.490909090876,201.0,0.33491060065655004,0.35119638260657865,70170.33859201921,6390.4638412724025,222.0,0.3013119854085366,0.3179699536318281,79523.15549315723,7241.627375181625,vqe_uccsd_n6.qasm
8,11.0,0.9361189718456843,0.9387562085950621,4157.5,378.55454545454546,8.0,0.9501281161653093,0.951349355432257,1898.3,173.06363636363636,12.0,0.9314605179549379,0.9349073081398221,5458.500000000002,497.2909090909092,8.0,0.9448107758809224,0.9474485859757384,4120.200563499208,375.28186940901895,8.0,0.9448107758809224,0.9474485859757384,4120.200563499208,375.28186940901895,fredkin_n3.qasm
9,6.0,0.9642174043209041,0.9664224753345104,3375.8000000000006,307.18181818181824,5.0,0.9659308084652283,0.9674935531455362,2389.0,217.54545454545456,5.0,0.9688686872651421,0.9704011199262081,2335.6000000000004,212.84545454545457,3.0,0.9728938271597442,0.9743959002742703,2279.9,207.6909090909091,3.0,0.9728938271597442,0.9743959002742703,2279.9,207.6909090909091,bell_n4.qasm
