name,pyzx_totalFidelities,pyzx_totalExecutionTime,hybrid_0_1_totalFidelities,hybrid_0_1_totalExecutionTime,hybrid_0.005_1_totalFidelities,hybrid_0.005_1_totalExecutionTime,hybrid_0.05_1_totalFidelities,hybrid_0.05_1_totalExecutionTime,Best fidelity,Best exec
basis_trotter_n4.qasm,0.338582254498167,8347.1545454545,0.373592129380668,7368.58181818177,0.435671183439856,8133.06373881799,0.420439038195798,9618.23659415871,h1,h0
basis_change_n3.qasm,0.873065381409318,719.081818181818,0.85606385413396,774.2,0.868767367995079,882.745454545455,0.869210144442002,881.545454545455,pyzx,pyzx
teleportation_n3.qasm,0.986849677407676,2.7,0.986849677407676,2.7,0.986849677407676,2.7,0.986849677407676,2.7,,
iswap_n2.qasm,0.99190671231072,2.2,0.99190671231072,2.2,0.99190671231072,2.2,0.99190671231072,2.2,,
grover_n2.qasm,0.989925143295022,2.2,0.989925143295023,2.2,0.989925143295023,2.2,0.990420018379595,2.2,,
quantumwalks_n2.qasm,0.957794633354928,10,0.946519743539042,12.1,0.956830817366294,10.8,0.956352725523561,10.8,,
vqe_uccsd_n4.qasm,0.813628654180709,1495.57272727273,0.809141667134783,2021.91818181818,0.836627016485035,2285.73636363636,0.828455484210414,2284.63636363636,h1,pyzx
vqe_uccsd_n6.qasm,0.35861569782545,5155.00909090907,0.347385343436879,6230.85454545451,0.395626363180296,6790.28222799939,0.37298071547719,7058.18189502258,h1,pyzx
fredkin_n3.qasm,0.936118971845684,378.554545454545,0.946046287913014,334.127272727273,0.947179708218836,374.781869409019,0.9457594955518,374.781869409019,h1,h0
bell_n4.qasm,0.964217404320904,307.181818181818,0.97334361361266,212.845454545455,0.973867365362751,207.690909090909,0.972893827159744,207.690909090909,h1,"h1,h2"
toffoli_n3.qasm,0.942278412734738,601.636363636364,0.955439391121557,110.445454545455,0.954474284554883,313.391011545311,0.953997370181662,313.391011545311,h0,h0
adder_n10.qasm,0.639714696494769,3068.87272727272,0.63038464309463,2388.38181818182,0.702003273980895,1664.16363636364,0.692155901955069,2280.29090909091,h1,h1
dnn_n2.qasm,0.801331804842704,56.1,0.799970265688423,54,0.836925556800493,44,0.833991052032799,45.5,h1,h1
error_correctiond3_n5.qasm,0.929469688480058,688.290909090909,0.935073929153656,567.090909090909,0.934611470620156,566.390909090909,0.930304038711311,567.790909090909,h0,h1
linearsolver_n3.qasm,0.975337526153262,4.9,0.975335942206406,5.1,0.975335942206406,5.1,0.975335942206406,5.1,,
adder_n4.qasm,0.916088113792608,808.045454545455,0.919687158880366,348.5,0.943678093070587,267.509193363493,0.943678093070587,267.509193363493,"h1,h2","h1,h2"
cat_state_n4.qasm,0.984280366614609,2.6,0.989326424248016,1.9,0.984280366614609,2.6,0.984280366614609,2.6,,
qft_n4.qasm,0.889041904621496,1253.61818181818,0.917840193424793,767.772727272728,0.943480862260235,511.563636363636,0.946904639673041,509.863636363636,h2,h2
wstate_n3.qasm,0.938383567378106,337.127272727273,0.93716419509834,377.554545454545,0.946981388397782,417.063790045239,0.946977543661149,417.563790045239,h1,pyzx
qec_en_n5.qasm,0.958982382684766,405.154545454545,0.958742575015505,438.863636363636,0.959221861571775,438.863636363636,0.959221861571775,438.863636363636,"h1,h2",pyzx
hs4_n4.qasm,0.980842732424314,2.4,0.982806120849194,2.4,0.980842732424314,2.4,0.980842732424314,2.4,,
sat_n7.qasm,0.669963367331049,2194.78181818181,0.644608325721858,2261.75454545454,0.66711829493213,2156.08186940902,0.720502974454888,1518.02732395447,h2,h2
qaoa_n3.qasm,0.971229424606008,168.963636363636,0.971711008328814,169.463636363636,0.977188887605071,167.754622295347,0.976208640169868,168.254622295347,h1,h1
vqe_n4.qasm,0.827827434564775,1839.74545454545,0.837041527935509,2046.86363636363,0.839981497324308,2046.06363636363,0.836609211162564,2048.86363636363,h1,pyzx
simon_n6.qasm,0.976194564143554,223.154545454545,0.97619852750153,222.654545454545,0.97619852750153,222.654545454545,0.97619852750153,222.654545454545,,
deutsch_n2.qasm,0.992407191281698,1.7,0.992403162116681,2.2,0.992403162116681,2.2,0.993400255773095,1.7,,
qpe_n9.qasm,0.764093750879104,1608.16363636364,0.773320301439538,1652.2,0.813521931132177,966.99090909091,0.806766958235392,968.69090909091,h1,h1
variational_n4.qasm,0.848740126635159,1712.32727272727,0.818919975916204,2222.60909090909,0.85925648490205,1766.8000768408,0.848383900774157,1620.66371320444,h1,h2
qaoa_n6.qasm,0.732888296019361,1973.95454545454,0.798211480161974,1527.99090909091,0.837283487151683,1000.45467352255,0.83300326849956,1002.65467352255,h1,h1
dnn_n8.qasm,0.354087721063235,1495.24545454546,0.366801900409916,1605.03636363636,0.51411218845696,1280.22734956807,0.525540889082289,1273.62734956807,h2,h2
